ssn,trans_num,unix_time,merchant,amt,is_fraud
2198-3392916-2,00013d491a42437bb22b5b270c49b780,1628949236,Starbucks Corp,59.53,0
2198-3392916-2,a2e7859c09a1abce4a3a279eab3184f4,1609792066,Royal Canin Philippines,33.77,0
2198-3392916-2,bf30e4cf3fe943b531038243210ad876,1626849700,Travel Club,40.09,0
2198-3392916-2,d432168d1d27f33b65561ea3510d1a34,1600232609,Typo,10.84,0
2198-3392916-2,f113dfb8066d05f830629343cff3fa66,1637462051,Fully Booked,19.22,0
2198-3392916-2,0ef63bddf8a16544ca1fc1f8c39d260c,1606969655,Savvys,52.3,0
2198-3392916-2,106996ad2b67f784b07facaf37035e00,1611340854,Shopee,168.93,0
2198-3392916-2,16326992d278a2c9a8e8c4bc5acbef25,1608388170,Pacific Paint Philippines Inc,135.08,0
2198-3392916-2,1b8e74c0fb2927e488d04a48d6a6a911,1578995039,Office Warehouse,79.14,0
2198-3392916-2,3fddfc18cd029301ff61e7f4d07233de,1593100807,Bow & Wow,81.42,0
2198-3392916-2,6553fe3120cd8deb1a4aca76c9a93766,1638350151,SM Markets,53.17,0
2198-3392916-2,6a18162f5b4727e42ae81987f3bfe1cc,1620788439,Galleon PH,278.07,0
2198-3392916-2,c460f212014f1c924d300e6e7d4a7fcd,1580571976,Star Cinema,64.32,0
2198-3392916-2,c5526903a7e871d7139f4fd2f92eaa3c,1593569346,Caltex (Chevron Corporation),72.37,0
2198-3392916-2,d5a4bf9d7fb47175df2018241e54d6be,1617391676,Robinsons Retail Holdings Inc,8.62,0
2198-3392916-2,d7918be0c7d19be5697170003334a7b3,1596288374,Toby's Sports,5.64,0
2198-3392916-2,e1a5761c604d0763915cad42c002e85a,1585820996,Travel Club,75.18,0
2198-3392916-2,fe09f798921c2cd1d518eb466274c7bb,1603628874,The Moment Group,32.71,0
2198-3392916-2,196dc1124fc8465e4ec07200d334e71d,1630165483,Gourdo,13.15,0
2198-3392916-2,32b1320374277b3ec3b302459f086d47,1592024175,Ever Supermarket,178.99,0
2198-3392916-2,3406a53c30b987ef534048003bde383f,1608824400,TV5 Network Incorporated,53.42,0
