ssn,trans_num,merchant,amt,is_fraud,time
0009-4332031-7,0ae390d20d25c6065816b1567ee0f7f0,Office Warehouse,9.39,1,2020-02-25 07:45:38
0009-4332031-7,dca3e83e55f372cb8b29bfac044ca059,Ace Hardware,772.03,1,2020-02-26 11:05:38
0009-6750275-9,9f17dc96bc4b62218c05278df8c85b4a,SM Retail Inc,671.4,1,2021-08-02 01:01:53
0009-6750275-9,8a1a497746b9d7906a2c0958cd837ba4,GMA Pictures,455.96,1,2021-08-02 01:45:10
0009-6750275-9,261e8af54b35ca69ced80c1270eb9c49,O Shopping,808.45,1,2021-08-02 03:02:29
0009-6750275-9,1de05f35f8e663d0dc28204ecd7a6fc3,Ubuy Co.,1194.7,1,2021-08-02 03:48:59
0009-6750275-9,4697cd4c9837a23bfc02494ae587ce49,Stage Act Philippines Production Company,484.94,1,2021-08-03 02:15:39
0009-6750275-9,9211dc7ad88e4ca6be9457a7d45ec179,National Bookstore,846.41,1,2021-08-03 02:17:26
0009-6750275-9,4eaff7dd7104a9f6fd581f94a442c4bd,Zalora,980.12,1,2021-08-03 03:17:19
0009-6750275-9,db02e4cce38f7847caac692e7794e028,Pioneer Center Supermarket,342.89,1,2021-08-03 09:28:39
0009-6750275-9,919eab1a84a2748341a3342a952554ad,Gaisano Grand Group,663.78,1,2021-08-03 11:54:49
0009-6750275-9,53b7d63dc03525ca587f75b9e39e46dc,Chicco Philippines,18.6,1,2021-08-03 17:32:46
0009-6750275-9,677d9f3f7c8773b24e7d2b017dda6c8a,Bow & Wow,16.61,1,2021-08-03 22:27:15
0009-6750275-9,c2d198d47cba4a13bd5d4789f5d76a0a,Ikea,284.15,1,2021-08-03 22:52:34
0009-6750275-9,baa362af15a35b3c26354ce848d19358,Pacific Paint Philippines Inc,246.63,1,2021-08-03 23:10:43
0009-6750275-9,9f5ef99a8210ebb33ffbcdce6f5bbab4,Pottery Barn,241.95,1,2021-08-03 23:40:43
0009-7536924-1,0fe0c610a6f28cc4e111bce3c8ce86fe,Ever Supermarket,305.78,1,2021-07-16 00:27:32
0009-7536924-1,bcb8b3262f5231592fbdd6baa773ff3e,All Day Supermarket,281.02,1,2021-07-16 01:13:56
0009-7536924-1,e78a785de11bbf8ef7a88f7f7af07612,Robinsons Retail Holdings Inc,311.57,1,2021-07-16 01:44:47
0009-7536924-1,df6df7fb82450934d5be22fdbade0e33,Rustans Supermarket,262.05,1,2021-07-16 03:16:22
0009-7536924-1,809de11d9900f73eba017a8bfd16fcbd,Cornerstone Entertainment,459.35,1,2021-07-16 14:33:31
0009-7536924-1,0416d6f121fcba827ad1037f0cf7fb5a,PoundIt,999.3,1,2021-07-16 21:42:35
0009-7536924-1,56f4df392199740cc237b1491b6632e0,RRCG Transport,9.58,1,2021-07-16 22:28:28
0009-7536924-1,dedde2b446e3cfcb791c96320f742833,Caltex (Chevron Corporation),9.64,1,2021-07-17 00:34:52
0009-7536924-1,2c0d9b02ade29a074fa21945210d4221,S&R Membership Shopping,307.47,1,2021-07-17 01:34:28
0009-7536924-1,231d9e960740f0911384fdf9424a4e59,CD-R King,749.12,1,2021-07-17 01:44:06
0009-7536924-1,e1891c260b2a5c1c31b589cc2bd82794,Unimart,273.88,1,2021-07-17 01:55:19
0009-7536924-1,680201a18f3bd48f1880935482c9b5fe,Ever Supermarket,319.6,1,2021-07-17 03:36:54
0009-7536924-1,4fb6e0568130808dd453fb514b0b0f2e,ZALORA Philippines,686.74,1,2021-07-17 03:46:49
0009-7536924-1,2857317d4754bf45fe5127afd8789bb1,Unimart,324.91,1,2021-07-17 08:22:30
0009-7536924-1,0cb29b917317e1c32818e95f20aa2190,Galleon PH,867.68,1,2021-07-17 21:17:18
0009-7536924-1,897de7721cb39aeb4cd803844be6ec97,Eventscape Manila,551.96,1,2021-07-17 23:39:38
0012-4727874-6,72f3b423ef0c82742a330cf7ed81fe18,Puregold Price Club Inc,344.73,1,2021-03-26 00:20:32
0012-4727874-6,489189e55332c808f90ddf34566995dd,Kultura,721.67,1,2021-03-26 12:42:13
0012-4727874-6,a6be14f939a6b58890c5dc13ebe33e4d,BeautyMNL,1063.9,1,2021-03-26 22:00:02
0012-4727874-6,4fb81271878852bd71724a55341f1eb8,Galleon PH,775.01,1,2021-03-27 00:07:04
0012-4727874-6,7dfa6f036e85d13809177c3bb59d9132,Landers,317.28,1,2021-03-27 02:02:33
0012-4727874-6,5d42ee920c1d19f4b5f285b761814f73,Total SE,12.59,1,2021-03-27 03:30:45
0012-4727874-6,04ef69ded4e0f7c830da57d422fd1ebc,SM Retail Inc,298.78,1,2021-03-27 05:02:09
0012-4727874-6,e8039d38acd87d731a6f5e6abe80ac3f,JAM Liner,10.97,1,2021-03-27 17:04:51
0013-8459708-7,8f4b75d8240c95ee1b167b778a0c4995,Yum! Brands Inc,114.47,1,2020-03-03 00:10:17
0013-8459708-7,4e48758498776734b50cb63512650234,ZAFUL Philippines,893.95,1,2020-03-03 01:26:37
0013-8459708-7,cbbdc30364bee25545a91386516f7007,Metro Retail Stores Group,341.32,1,2020-03-03 02:33:25
0013-8459708-7,224d72cb8b43ab54c92b0eef3bd323e6,West Elm,266.65,1,2020-03-03 22:11:20
0013-8459708-7,e73445ef2eb33362978a04d2cf1097e3,Sawasdee Marketing Corp,228.07,1,2020-03-03 22:45:44
0013-8459708-7,b803daca9ee2d425c8f204e8254a4d99,Chicco Philippines,17.36,1,2020-03-03 23:26:46
0013-8459708-7,c6f2b78e78fd61f02fbd3fbb522a7df1,Gold's Gym,19.18,1,2020-03-03 23:36:30
0013-8459708-7,6e5525abf545b9aa744a0a606c75b3bf,Solar Entertainment,559.23,1,2020-03-04 00:37:49
0013-8459708-7,c40d53ca7f657b4bed3a00e812fbad7c,SM Retail Inc,335.8,1,2020-03-04 00:39:35
0013-8459708-7,3ca5261d94aa516d591884f7d55a721c,Marks and Spencer,846.03,1,2020-03-04 02:08:31
0013-8459708-7,4ec48325718eabad8ba2d9ce68e0ae77,Nine Media Corporation,536.85,1,2020-03-04 02:25:29
0013-8459708-7,a2437d5d72d85c111d202430509a0fff,OLX,1016.63,1,2020-03-04 03:51:41
0013-8459708-7,581853000431a6249d97939af9405c6c,Marks and Spencer,791.82,1,2020-03-04 03:57:02
0013-8459708-7,eba85fe5e2808dffb33cd03c513977b1,Timezone,19.03,1,2020-03-04 23:27:19
0019-8263899-0,76d75962576453585a035f4a5a3ee3df,Unimart,316.81,1,2021-05-13 01:12:52
0019-8263899-0,e77ffa89f4bd780b5cbebf419b9c38f1,KCC Supermarket,278.45,1,2021-05-13 03:19:08
0019-8263899-0,ee34e7185892f06e4a9f128bdd6931e8,Johnson & Johnson (Philippines) Inc.,16.23,1,2021-05-13 22:08:34
0019-8263899-0,f11a341db4bdf9849c25c02cbd346df7,Rustan Group,783.2,1,2021-05-13 22:30:44
0019-8263899-0,13edd3fd14055f890d5c5ecf9f8290f4,Ptt Philippines Corporation,12.23,1,2021-05-14 02:42:04
0019-8263899-0,ecef8cd74c7b330c5c0663da4b4cca13,Robinsons Retail Holdings Inc,313.95,1,2021-05-14 04:11:11
0019-8263899-0,0a2a5c91643de4ad38221cc027563ce8,Lamudi,815.49,1,2021-05-14 22:17:33
0019-8263899-0,4adcedb9961d47b561129d0b80503120,eBay,1052.05,1,2021-05-14 22:54:54
0019-8263899-0,c4eaf34c23101b8d78e13481eceda5dc,Philippine Educational Theater Association,502.13,1,2021-05-14 23:54:13
0020-8900434-0,28fb6e6efe4d518348096169111e98eb,KCC Supermarket,284.56,1,2020-05-26 02:16:24
0020-8900434-0,cc6d58c8534922be4c01626fa67835b7,eBay,986.13,1,2020-05-26 22:49:10
0020-8900434-0,3ec12857efaaad3baa8ccd45187709b1,Toy Kingdom,21.86,1,2020-05-26 23:02:52
0020-8900434-0,55086f31067ee1b8590a5837aad4b079,SilanganFit,21.16,1,2020-05-26 23:38:29
0020-8900434-0,82e60fbea2091bc88f1886e94df2ec9b,Metro Retail Stores Group,319.36,1,2020-05-27 01:49:50
0020-8900434-0,162109c0c2e5c4e5e0cc71ad2b18bc5f,Carousell,1124.97,1,2020-05-27 22:17:17
0020-8900434-0,c67b17e017f867276d9d4dcc17151f14,BeautyMNL,1030.3,1,2020-05-27 23:28:48
0020-8900434-0,5bb8eeecd99f884ca2435e2cefb60fbc,Robinsons,883.55,1,2020-05-27 23:44:56
0021-5904415-8,7c8e51fcadc513d6eeb1c9adb57938a1,Daiso,881.24,1,2020-11-19 00:04:41
0021-5904415-8,81200de8c47cbd2e43bd924b155d702c,Landmark Supermarket,331.18,1,2020-11-19 00:55:32
0021-5904415-8,5ff8b318ab670a744d09ebfbe942bcc6,SB Furniture Industry Co,275.1,1,2020-11-19 23:11:05
0021-5904415-8,f0a15056310cc14aabccab02ab22a068,Urban Pets,19.55,1,2020-11-19 23:50:53
