ssn,trans_num,merchant,amt,is_fraud,time
0009-4332031-7,277bdf4280e9f9d8e37ef952f10c9318,L'Oreal Philippines Inc.,190.12,0,2021-12-06 15:11:55
0009-6750275-9,53ea007a42620b516c925677824c759f,Philippine Airlines,9.84,0,2021-12-06 20:38:49
0012-4727874-6,6b465516c3a9e33af3ccdd62d7a9bf1d,BeautyMNL,9.46,0,2021-12-06 18:31:14
0013-8459708-7,92739c9d195489443c4ef870b98b6da9,Rare Food Shop,52.81,0,2021-12-06 07:16:51
0019-8263899-0,33eb45799eaa03263fca1bdf4573099f,Slimmers World,32.73,0,2021-12-06 23:45:43
0020-8900434-0,4f9c9de8b175381adff6b017c9693125,Club Gymnastica,21.25,0,2021-12-05 12:00:51
0021-5904415-8,8f24681d0f8e2f208d678fcd884fa44f,PoundIt,1.59,0,2021-12-06 16:17:42
0022-8665898-8,4e972bcbc7030af23cbd68f5d4a41471,Standard Hospitality Group,29.31,0,2021-12-05 16:43:17
0024-9218120-8,1407cef92fe63eaa10f8b47e79cec210,Phoenix Petroleum,37.45,0,2021-12-06 06:53:33
0025-9818973-8,63d742e2281eb68aa40905e03ae46605,Starmedia Entertainment,61.4,0,2021-12-06 22:31:42
0026-6234071-0,9c2513d1c9863c9a8b878f47648794b8,eBay,6.43,0,2021-12-06 23:45:31
0029-0549079-9,6584ce08fb24f33fa80cae3f4976fc5e,Ubuy Co.,2.69,0,2021-12-06 18:10:33
0030-5075752-2,88e99c683d96e7cb4b68c764831170b9,Slimmers World,64.4,0,2021-12-06 17:18:15
0032-8904384-4,949634e8ac435a1a4f47ecb97a399592,Muji,6.78,0,2021-12-06 14:02:27
0041-9401764-2,bb8a07ecaa0447f46012d3ff56d06fca,Curves,42.86,0,2021-12-06 19:09:52
0042-3104423-5,1cd1b50a13d42c7e09f91305fe5017b0,Shakey's International Inc.,7.75,0,2021-12-06 21:20:37
0044-1511038-2,a9ed9df706c517d1f049bd9df5215a55,Genesis,5.4,0,2021-12-05 23:43:46
0045-5815734-5,cd79e22b474b3dc43ff2ba3e9ea29839,Savvys,48.43,0,2021-12-06 10:24:29
0047-3696911-4,2411bccb65c1eb34f89ed344ab74f7ae,Star Cinema,22.37,0,2021-12-06 16:09:25
0047-5730397-1,5b9f8193f0d4ee32a4366ff9c7c9f1b1,West Elm,32.22,0,2021-12-06 23:27:19
0047-9200295-9,653a18d18e28163c2ccea4c8f8f769d1,Inquirer Holdings Corporation,185.68,0,2021-12-06 21:28:31
0051-6025749-8,98b7068d6ccacdb3150a2b4ce7f4769d,Zalora,90.75,0,2021-12-06 23:07:03
0053-7327909-3,6067fe523cdedd59a44c84e4bb638037,Slimmers World,16.87,0,2021-12-06 22:53:37
0055-6969532-3,340dc26142689aaf5983b4dcf9de5657,Unilever Philippines Inc.,2.29,0,2021-12-06 15:23:00
0058-4966431-8,0553078114deb1c91a369efc37610124,ABS-CBN Corporation,233.88,0,2021-12-06 19:30:35
0058-9287698-5,a01f2597c22e7284da75ee150376f375,Play Nation,26.14,0,2021-12-06 15:57:55
0059-7307034-8,dfd25508bdfa2e985f2ab12374352700,Shakey's International Inc.,1.45,0,2021-12-06 23:53:33
0061-4265499-8,1d09d915edd1be3e3a2f2c7d391b9c46,West Elm,125.92,0,2021-12-06 22:26:39
0064-1424171-1,10a733956f641a52fdbd667c2867e601,Ubuy Co.,4.66,0,2021-12-06 15:19:20
0065-4016764-9,7fc823e0834f3bbf752359e1a8ee8f42,ABS-CBN Corporation,9.82,0,2021-12-06 22:30:57
0067-1595643-9,0cf4d186714d60bc42217224e8c65f46,Uratex Philippines,5.58,0,2021-12-06 18:38:39
0067-6407113-9,9535acd5ec89977c084fcb7124d24ddd,Mary Kay Philippines,26.17,0,2021-12-06 23:50:44
0068-5616662-7,b669fb9c2a32860b81f55f771b5de3d1,Rustan Group,6.7,0,2021-12-06 13:53:13
0069-7708569-5,6d4d4a6d73738fa7b5a46f9520c0a3ca,Cebu Pacific,6.8,0,2021-12-06 12:14:43
0070-9777460-6,8d94c9d6a05a99e75c0fc4065d0d93eb,Rustan's,9.3,0,2021-12-06 23:02:20
0071-6145799-9,4664fc93be85a1f1b94a3595cb6c41ae,Beiersdorf Philippines Inc.,4.94,0,2021-12-06 20:02:35
0072-6583436-4,f2631d99d890a4e26b4eabaa60f7cf25,Power Mac Center,7.37,0,2021-12-06 23:17:45
0075-9587431-0,1ec62d886a1c84aa568f81615ddd4b9d,Uratex Philippines,7.15,0,2021-12-06 23:01:50
0083-1830862-7,0157a6e68b3d6ecab71e13da103be937,Alfonso Liner,9.02,0,2021-12-06 23:05:46
0085-1452256-5,9cfebeaa11bef814beb76e368cff07ef,Happy Foods Group,84.93,0,2021-12-06 18:07:34
0085-3931763-3,095cc66a3066847c3b35f055a9cd01ca,Beiersdorf Philippines Inc.,4.35,0,2021-12-06 23:59:58
0085-8986470-7,ee5396ba0c88ecef5431b4d07602c826,Lazada,15.7,0,2021-12-06 15:52:44
0104-5013258-2,ff08660662b99c03468c11be38efc18e,Hawk Bags,2.36,0,2021-12-06 23:52:48
0110-9839578-8,6014b3cc1cc8b9d4053b60b69adddd61,Human Nature,89.17,0,2021-12-06 19:48:07
0111-8839152-6,8edb40079f5e36b0b2f7f1374e9bd828,Kimberly Clarke,1.17,0,2021-12-06 19:47:23
0113-8396016-3,c6315e61274e1a875079cd1a095f030f,Viva Entertainment,3.81,0,2021-12-06 19:19:08
0115-9222769-7,a641fc8407f4c04fa8f7489abfde69b2,Kidzoona,57.91,0,2021-12-06 22:09:54
0118-7688098-8,c0df3036972d3cb8c2b1f639f53319f6,Max's Group Inc,2.93,0,2021-12-06 20:28:32
0121-4198087-7,6867384d9883c02e2c82fbae76c6e5cc,The Bistro Group,61.78,0,2021-12-06 21:44:34
0123-0597781-4,33199ce2a872a923a499df83eaa99477,eBay,81.47,0,2021-12-06 19:14:53
