ssn,rate_ave,proxim_ave
2198-3392916-2,1.4536589637590645e-05,0.5291090232675822
8196-1259392-5,1.2051347701458227e-05,0.5387777147346074
0913-0412538-1,1.046096442770143e-05,0.5436340553043143
1755-8748072-7,1.0738481346591252e-05,0.5396536100610961
8687-0501138-3,1.0614926035470816e-05,0.5339879555545126
9483-8099550-2,1.0375762841043216e-05,0.5429102541782491
2127-8413223-9,3.693880243045837e-05,0.5414890672152523
6484-2489949-1,1.56751775513573e-05,0.5342558924326687
7931-1139842-1,1.034845281279148e-05,0.5372203796663388
1312-4986038-1,1.191822614009747e-05,0.540927133266369
5660-9230163-9,5.00390119925956e-05,0.5235228247799233
8154-8026323-7,2.4754766301201527e-05,0.537992733105042
1263-8292362-3,9.70379079544614e-06,0.5307383585826929
3491-0140380-3,1.076030195240298e-05,0.539845583537525
5367-7852157-0,9.837827731008896e-06,0.5385865924815924
1198-9631302-6,2.733354896229188e-05,0.5315386566867085
4494-5040645-0,1.3985974626767108e-05,0.5372505350780067
9921-8301448-6,1.2288121538524445e-05,0.5341132146730629
3599-6304764-6,1.616670941199531e-05,0.5276454144656466
2308-1277952-8,2.078284407294476e-05,0.5344479951582873
2939-6105153-0,2.2819703442830057e-05,0.5376907306833288
9289-8310962-2,1.4704491881166693e-05,0.5259959581041866
2188-3658936-4,2.061756305140472e-05,0.5410976677998233
2006-4074425-2,1.1840058737713256e-05,0.5319614335867862
9178-6459008-9,2.099405091217428e-05,0.5302395387449849
7112-8645161-6,1.0439015181421854e-05,0.5343869859044473
3024-9040650-5,2.4137853061908923e-05,0.543003916782375
1695-2167697-0,1.544515450094443e-05,0.5361981168808694
2504-4006017-6,1.2872227567417802e-05,0.5363707704591048
6405-2530628-4,1.191344851208283e-05,0.5405920507095624
7762-3236440-3,2.031601112227292e-05,0.5362756031483125
0189-2693367-9,1.4505353180349538e-05,0.536660324520337
7386-4984714-4,1.0115211321392206e-05,0.541101324947777
3405-8221925-9,1.2554130489629665e-05,0.5300676184646744
9585-8209781-9,9.642545132139031e-06,0.538162136273026
3368-8060083-7,1.1701912674318569e-05,0.5283900675394025
8737-3411932-5,1.4165074554619984e-05,0.5394807419819259
5741-9821863-9,4.36963126513192e-05,0.5259172652514201
8464-4820465-2,2.741010669333609e-05,0.5370416238826589
5531-0598269-9,1.459227683403768e-05,0.5347136122667079
7080-4399480-8,1.8922961705124745e-05,0.533290414442987
3712-9010789-2,1.0447564558527625e-05,0.5329798952346341
0538-3235394-4,1.137512517494585e-05,0.534354007188997
1137-7113119-6,1.157425832036446e-05,0.5384638364896165
9218-1599052-0,1.5250835010233278e-05,0.5342343061248345
6783-4474449-1,1.0322080621648506e-05,0.5329099134934893
1040-5052388-9,1.5601498945276434e-05,0.5288282874012397
6844-7777386-4,1.102800788301793e-05,0.5321617082619311
4769-5953157-9,1.0604295362611202e-05,0.5362208957983315
4208-8785668-9,1.4581122627994273e-05,0.5322852957029568
4331-8575280-8,9.131645232065996e-06,0.5424783220667199
8518-4986033-2,1.1078313982074764e-05,0.5369789959979467
2896-0183331-7,3.3339325366367794e-05,0.543328517147381
4837-3830672-0,2.6380498435129533e-05,0.5277409221646774
8466-6525744-8,1.2085151698982444e-05,0.5327809830764014
1842-7195055-7,9.011100955721748e-06,0.5384058531971511
1242-2231914-8,1.575019294845014e-05,0.5347735377344476
9700-8005105-4,1.5269686397102445e-05,0.5414104747610905
1029-5075303-3,1.012064689830786e-05,0.5308147490311143
8918-4838886-3,0.00012760483747686343,0.5312696039370034
5014-1476905-2,2.3884774462662804e-05,0.5404215956385182
0185-1655471-0,1.0308795322742895e-05,0.5262151198370519
7240-4875374-7,3.2346492399180096e-05,0.5421063422849641
5967-9394971-9,2.77534641704819e-05,0.529944032639481
8449-2318423-7,3.506129396128409e-05,0.5344667969979598
5738-1535865-3,4.3876813477019976e-05,0.526645872655288
4988-4051531-5,4.65687696801374e-05,0.5422389998593556
9580-3437763-1,1.0229634600735898e-05,0.5340127183596337
9366-1767467-2,2.153138239907888e-05,0.5360559570310311
